what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269316890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269515671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269515718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269517140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382269526468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269531812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269543140
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1382269543171
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1382269543328
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1382269543375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269548875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269548875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269548953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269551125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269552281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269661718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269662578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269664031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269664156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269693671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269696406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269696406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269696484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269699218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269705000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269705015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269705171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269708250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382269709593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269718687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382269994343
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1382269996500
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1382269996500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382269997625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382270000031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270004734
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270006625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270006718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1382270006765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270014250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382270029687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1382270176171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1382270177093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270178000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270181671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270182671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1382270182687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270187218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382270188921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270300921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270305218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270330828
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270330953
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270331171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382270332015
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1382270333890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270338140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270338140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270338218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270355031
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270355562
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1382270358296
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1382270360828
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1382270362781
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1382270363515
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270364015
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382270364781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270367062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270369187
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1382270369203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270377500
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1382270377578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270377671
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1382270377687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270380546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270389781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382270391109
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382270398890
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270399140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382270399312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270409125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270409140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270409250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270410390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270410609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270410625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270410718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270418609
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1382270421109
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1382270430609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382270431656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270436390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270485343
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382270486546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270499859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270499859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270499984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270576406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270606562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270607812
failed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1382270607828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270616671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382270618859
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.delegate.methods",1382270618875
