what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272553593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272553984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272570078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272571609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272571609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272571703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272594859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272598046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272598046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272598406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272613781
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382272615734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272619406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272619421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272619781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272769578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272770015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382272770890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273151187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273152234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273153656
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382273153671
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382273155656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273158203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273158203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273158328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273160375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273162187
error,log,,,"Internal Error",1382273164359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273191281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273191656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273191656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273191750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273194500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273200343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382273201000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273359203
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382273359343
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382273359421
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382273360062
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382273362125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273375093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273384968
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.add.import",1382273384984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273391765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382273397218
